"No.","Time","Source","Destination","Protocol","Length","Info"
"966270","6104.296487","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 88%"
"966277","6104.341562","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 94%"
"966300","6104.497196","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"966324","6104.696485","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 100%"
"967737","6114.849188","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 94%"
"967738","6114.849440","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"967748","6114.865204","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 94%"
"967803","6115.167608","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 88%"
"967804","6115.167910","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"967811","6115.181574","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 81%"
"967866","6115.483861","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 75%"
"967867","6115.484203","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"967876","6115.492812","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 69%"
"967932","6115.782599","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 62%"
"967933","6115.782921","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"967939","6115.791593","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 62%"
"967950","6115.812817","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 56%"
"967951","6115.813229","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"967956","6115.823908","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 56%"
"968000","6116.097828","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 50%"
"968001","6116.098160","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
