0
PLAY
PAUSE
PLAY
PAUSE
PLAY
PAUSE
PLAY
FORWARD
BACKWARD
BACKWARD
BACKWARD
FORWARD
BACKWARD
PAUSE
PLAY
FORWARD
FORWARD
FORWARD
FORWARD
FORWARD
BACKWARD
PAUSE
