"No.","Time","Source","Destination","Protocol","Length","Info"
"948787","5967.782022","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PLAY (Pushed)"
"948803","5967.898803","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Pushed)"
"948824","5968.075825","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PLAY (Released)"
"948842","5968.199843","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Released)"
"950629","5980.832074","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PLAY (Pushed)"
"950630","5980.832421","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Pushed)"
"950644","5980.897066","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PLAY (Released)"
"950645","5980.897204","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Released)"
"951058","5983.593433","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PLAY (Pushed)"
"951059","5983.593624","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Pushed)"
"951078","5983.715895","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PLAY (Released)"
"951082","5983.738949","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Released)"
"951522","5986.638343","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 39%"
"951523","5986.638653","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"951536","5986.705788","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 39%"
"951760","5988.115779","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 33%"
"951762","5988.116145","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"951767","5988.138433","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 33%"
"951965","5989.443151","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 39%"
"951966","5989.443399","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"951972","5989.458122","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 39%"
"952140","5990.534528","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 33%"
"952141","5990.534864","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"952145","5990.554069","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 33%"
"953990","6002.769750","GNAudio_74:9c:fe (Jabra Elite Active)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PLAY (Pushed)"
"953992","6002.770126","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Pushed)"
"954000","6002.802183","GNAudio_74:9c:fe (Jabra Elite Active)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PLAY (Released)"
"954001","6002.802400","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Released)"
"955898","6016.592341","GNAudio_74:9c:fe (Jabra Elite Active)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PLAY (Pushed)"
"955928","6016.767263","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Pushed)"
"955947","6016.971030","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PLAY (Released)"
"955970","6017.131342","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Released)"
"956235","6019.063556","GNAudio_74:9c:fe (Jabra Elite Active)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Pushed)"
"956236","6019.063898","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Pushed)"
"956240","6019.075857","GNAudio_74:9c:fe (Jabra Elite Active)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Released)"
"956241","6019.076219","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Released)"
"956709","6022.327099","GNAudio_74:9c:fe (Jabra Elite Active)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 39%"
"956710","6022.327501","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"956716","6022.355972","GNAudio_74:9c:fe (Jabra Elite Active)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 39%"
"957476","6027.476046","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 46%"
"957477","6027.476369","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"957487","6027.522334","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 46%"
"957747","6029.214936","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Pushed)"
"957748","6029.215307","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Pushed)"
"957758","6029.279941","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Released)"
"957759","6029.280113","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Released)"
